time,open,high,low,close
2026-01-07 10:00:00+00:00,79.88,82.4,78.57,79.48
2026-01-07 11:00:00+00:00,79.48,79.84,78.61,78.98
2026-01-07 12:00:00+00:00,78.98,79.2,78.21,78.71
2026-01-07 13:00:00+00:00,78.69,78.92,77.19,77.67
2026-01-07 14:00:00+00:00,77.69,78.19,76.8,77.93
2026-01-07 15:00:00+00:00,77.95,79.99,76.5,77.24
2026-01-07 16:00:00+00:00,77.3,79.1,77.3,78.96
2026-01-07 17:00:00+00:00,79.01,79.03,78.01,78.19
2026-01-07 18:00:00+00:00,78.19,78.4,77.56,78.33
2026-01-07 19:00:00+00:00,78.33,78.62,77.96,78.57
2026-01-07 20:00:00+00:00,78.6,78.75,78.3,78.46
2026-01-07 21:00:00+00:00,78.46,78.5,77.9,78.24
2026-01-07 22:00:00+00:00,78.24,78.86,77.4,78.35
2026-01-07 23:00:00+00:00,78.35,79.01,78.19,78.92
2026-01-08 00:00:00+00:00,78.86,79.73,77.4,77.93
2026-01-08 01:00:00+00:00,77.88,79.2,77.08,78.68
2026-01-08 02:00:00+00:00,78.68,78.71,77.72,77.97
2026-01-08 03:00:00+00:00,78.05,78.58,77.7,78.11
2026-01-08 04:00:00+00:00,78.16,78.16,77.5,77.66
2026-01-08 05:00:00+00:00,77.66,77.67,75.61,76.25
2026-01-08 06:00:00+00:00,76.2,76.9,75.7,76.4
2026-01-08 07:00:00+00:00,76.42,76.9,75.82,76.06
2026-01-08 08:00:00+00:00,76.06,76.5,75.4,75.9
2026-01-08 09:00:00+00:00,75.94,76.46,75.74,76.4
2026-01-08 10:00:00+00:00,76.36,76.38,75.7,76.17
2026-01-08 11:00:00+00:00,76.19,76.19,75.62,75.62
2026-01-08 12:00:00+00:00,75.6,75.71,74.71,75.44
2026-01-08 13:00:00+00:00,75.4,75.56,74.4,74.53
2026-01-08 14:00:00+00:00,74.51,75.0,74.04,74.78
2026-01-08 15:00:00+00:00,74.78,76.12,73.01,75.85
2026-01-08 16:00:00+00:00,75.87,76.56,75.6,76.37
2026-01-08 17:00:00+00:00,76.37,76.55,75.87,76.28
2026-01-08 18:00:00+00:00,76.25,76.25,75.3,75.85
2026-01-08 19:00:00+00:00,75.85,76.1,75.71,76.01
2026-01-08 20:00:00+00:00,76.0,77.11,75.97,77.03
2026-01-08 21:00:00+00:00,77.03,77.21,76.84,77.08
2026-01-08 22:00:00+00:00,77.01,77.19,76.58,76.58
2026-01-08 23:00:00+00:00,76.58,77.21,76.3,76.85
2026-01-09 00:00:00+00:00,76.85,76.95,76.05,76.15
2026-01-09 01:00:00+00:00,76.15,76.81,75.78,76.7
2026-01-09 02:00:00+00:00,76.71,77.65,76.7,77.18
2026-01-09 03:00:00+00:00,77.17,77.17,76.39,76.76
2026-01-09 04:00:00+00:00,76.76,77.09,76.6,76.85
2026-01-09 05:00:00+00:00,76.85,77.24,76.52,77.08
2026-01-09 06:00:00+00:00,77.08,77.63,76.77,77.38
2026-01-09 07:00:00+00:00,77.38,77.58,77.18,77.27
2026-01-09 08:00:00+00:00,77.27,77.97,77.1,77.55
2026-01-09 09:00:00+00:00,77.59,78.45,77.58,78.19
2026-01-09 10:00:00+00:00,78.17,78.33,77.7,78.14
2026-01-09 11:00:00+00:00,78.14,78.34,77.7,78.05
2026-01-09 12:00:00+00:00,78.05,78.49,77.3,77.5
2026-01-09 13:00:00+00:00,77.52,78.78,77.38,78.3
2026-01-09 14:00:00+00:00,78.32,79.8,78.3,79.4
2026-01-09 15:00:00+00:00,79.4,80.31,79.01,80.19
2026-01-09 16:00:00+00:00,80.19,80.53,79.61,80.46
2026-01-09 17:00:00+00:00,80.46,80.49,79.26,79.53
2026-01-09 18:00:00+00:00,79.52,80.3,79.36,79.96
2026-01-09 19:00:00+00:00,79.95,80.15,79.67,79.97
2026-01-09 20:00:00+00:00,79.95,80.29,79.64,79.92
2026-01-09 21:00:00+00:00,79.91,80.22,79.78,79.98
2026-01-09 22:00:00+00:00,79.98,80.24,79.76,79.98
2026-01-09 23:00:00+00:00,80.03,80.24,79.67,79.86
2026-01-10 00:00:00+00:00,79.85,79.89,79.22,79.84
2026-01-10 01:00:00+00:00,79.84,80.2,79.8,79.96
2026-01-10 02:00:00+00:00,79.92,80.18,79.87,80.08
2026-01-10 03:00:00+00:00,80.1,80.16,79.99,79.99
2026-01-10 04:00:00+00:00,79.99,80.07,79.87,79.95
2026-01-10 05:00:00+00:00,79.95,80.03,79.87,79.89
2026-01-10 06:00:00+00:00,79.89,79.98,79.87,79.94
2026-01-10 07:00:00+00:00,79.91,79.93,79.87,79.89
2026-01-10 08:00:00+00:00,79.89,79.97,79.87,79.9
2026-01-10 09:00:00+00:00,79.88,79.98,79.8,79.81
2026-01-10 10:00:00+00:00,79.81,80.07,79.8,80.06
2026-01-10 11:00:00+00:00,80.07,80.1,79.9,79.96
2026-01-10 12:00:00+00:00,79.96,80.0,79.79,79.88
2026-01-10 13:00:00+00:00,79.88,80.0,79.83,80.0
2026-01-10 14:00:00+00:00,80.0,80.09,79.92,80.03
2026-01-10 15:00:00+00:00,80.03,80.11,79.95,80.04
2026-01-10 16:00:00+00:00,80.04,80.32,79.95,80.08
2026-01-10 17:00:00+00:00,80.08,82.0,80.02,80.23
2026-01-10 18:00:00+00:00,80.23,80.3,80.09,80.25
2026-01-10 19:00:00+00:00,80.25,80.3,80.13,80.16
2026-01-10 20:00:00+00:00,80.19,80.44,80.18,80.38
